SegmentCode|ProcessingType|ClaimDate|ITS_RCVD|ITS_FNLZD|ITS_AA|CON_RCVD|CON_FNLZD|CON_AA|TOT_CLMS|TOT_AA|ITS_SYS_AA|ITS_AUTO_REJ_AA|ITS_RECY_AA|CON_SYS_AA|CON_AUTO_REJ_AA|CON_RECY_AA|ITS_OC_AA|ITS_COGAI_AA|CON_OC_AA|CON_COGAI_AA|MBU|BOB|LOB
WGS|AUTO|2026-04-01|1200|1100|950|800|750|680|1850|1630|600|150|200|400|80|200|80|120|60|120|GNC88512|SSB|LOCAL - CA
WGS|AUTO|2026-04-02|1300|1250|1050|850|820|700|2070|1750|700|160|190|420|90|190|90|110|70|110|GNC88512|SSB|LOCAL - CA
WGS|MANUAL|2026-04-03|1100|1000|400|700|670|300|1670|700|200|80|120|150|50|100|30|50|20|50|GNC88512|SSB|LOCAL - NV
WGS|AUTO|2026-04-04|1400|1350|1200|900|880|780|2230|1980|750|180|270|500|100|180|100|150|80|120|GNC88512|SSB|LOCAL - NV
WGS|MANUAL|2026-04-05|980|900|350|650|620|280|1520|630|180|70|100|140|40|100|20|40|20|40|GNC88512|SSB|LOCAL - CO
WGS|AUTO|2026-04-06|1250|1200|1020|820|800|700|2000|1720|650|160|210|420|90|190|90|130|70|110|GNC88512|SSB|LOCAL - CO
MED|AUTO|2026-04-01|900|860|720|600|580|500|1440|1220|450|100|170|300|60|140|60|90|50|90|GNC88512|SSB|LOCAL - CA
MED|AUTO|2026-04-02|950|910|780|640|620|540|1530|1320|500|110|170|320|70|150|70|100|50|90|GNC88512|SSB|LOCAL - CA
MED|MANUAL|2026-04-03|800|760|300|520|500|220|1260|520|150|60|90|110|30|80|20|30|10|30|GNC88512|SSB|LOCAL - NV
MED|AUTO|2026-04-04|1000|960|820|680|660|570|1620|1390|520|120|180|340|80|150|80|110|60|100|GNC88512|SSB|LOCAL - NV
GBD|AUTO|2026-04-01|1100|1050|900|750|720|620|1770|1520|560|130|210|380|80|160|80|110|70|110|GNC88512|SENIOR|LOCAL - CA
GBD|AUTO|2026-04-02|1150|1100|950|780|760|650|1860|1600|600|140|210|390|90|170|90|120|60|110|GNC88512|SENIOR|LOCAL - CA
GBD|MANUAL|2026-04-03|900|860|320|600|580|250|1440|570|160|60|100|130|30|90|20|30|10|30|GNC88512|SENIOR|LOCAL - NV
GBD|AUTO|2026-04-04|1200|1150|980|800|780|670|1930|1650|620|150|210|400|90|180|90|130|70|110|GNC88512|SENIOR|LOCAL - NV
COM|AUTO|2026-04-01|2000|1900|1600|1400|1350|1150|3250|2750|1000|250|350|700|150|300|150|200|100|200|GNC88512|COMMERICAL|LOCAL - CA
COM|AUTO|2026-04-02|2100|2000|1700|1450|1400|1200|3400|2900|1050|270|380|720|160|320|160|210|110|210|GNC88512|COMMERICAL|LOCAL - CA
COM|MANUAL|2026-04-03|1800|1700|600|1200|1150|480|2850|1080|300|120|180|240|60|180|40|80|20|80|GNC88512|COMMERICAL|LOCAL - NV
COM|AUTO|2026-04-04|2200|2100|1800|1500|1450|1250|3550|3050|1100|280|420|750|170|330|170|220|120|220|GNC88512|COMMERICAL|LOCAL - NV
NEW|AUTO|2026-04-01|500|480|400|350|340|290|820|690|250|60|90|180|40|70|40|60|30|60|GNC88512|SSB|LOCAL - MD - SG
NEW|AUTO|2026-04-02|520|500|420|360|350|300|850|720|260|70|90|190|40|70|40|70|30|60|GNC88512|SSB|LOCAL - FL - SG
NEW|MANUAL|2026-04-03|400|380|140|280|270|110|650|250|90|30|20|60|10|40|10|20|10|20|GNC88512|SSB|LOCAL - TX - SG
NEW|AUTO|2026-04-04|550|530|450|380|370|310|900|760|280|70|100|200|50|60|50|70|30|70|GNC88512|SSB|LOCAL - MD - SG
